front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
شمالية شرقية,7,3,5+,25,1,0,1,1,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,11000000,15714.28571
شمالية,7,3,5+,20,1,0,1,1,1,1,1,1,0,500,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,14000
شمالية,7,3,5+,20,1,0,1,1,1,1,1,1,0,500,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,14000
ثلاث شوارع,7,5,5+,,1,8,1,1,1,1,1,1,0,5100,0,1,1,1,1,1, حطين ,شمال الرياض,50000000,9803.921569
جنوبية,7,3,5+,20,1,10,0,1,1,1,1,1,0,750,0,1,0,1,0,0, حطين ,شمال الرياض,5000000,6666.666667
غربية,7,3,5+,28,1,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,6800000,9714.285714
جنوبية,5,2,5+,15,1,0,1,1,1,1,1,1,0,405,0,1,1,0,0,0, حطين ,شمال الرياض,6500000,16049.38272
شمالية,5,3,5+,15,1,0,1,0,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15544.04145
ثلاث شوارع,7,4,5+,,1,0,1,0,1,1,1,1,0,1250,0,1,1,0,0,1, حطين ,شمال الرياض,16000000,12800
غربية,5,2,5+,28,1,0,1,1,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,6800000,9714.285714
غربية,7,5,5+,20,1,0,1,1,1,1,1,1,0,455,0,1,1,1,0,0, حطين ,شمال الرياض,5600000,12307.69231
شمالية,5,3,5+,20,1,0,1,0,1,1,1,1,0,1000,0,1,1,0,1,0, حطين ,شمال الرياض,12500000,12500
شمالية,4,3,3,15,0,0,0,0,0,1,0,0,0,325,0,1,1,0,1,0, حطين ,شمال الرياض,4300000,13230.76923
ثلاث شوارع,7,5,5+,11,1,0,1,1,1,1,1,1,0,2000,0,1,1,0,1,1, حطين ,شمال الرياض,20000000,10000
جنوبية,5,4,5+,28,1,0,1,0,1,1,1,1,0,771,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,9079.118029
جنوبية,4,4,4,18,0,0,1,0,1,1,1,1,0,415,0,1,1,0,1,0, حطين ,شمال الرياض,5650000,13614.45783
شرقية,4,2,5+,15,1,0,1,0,1,1,0,1,0,336,0,1,0,0,1,0, حطين ,شمال الرياض,4500000,13392.85714
جنوبية,7,5,5+,25,1,0,1,1,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7200000,12000
شمالية,7,5,5+,25,1,0,1,1,1,1,1,1,0,416,0,1,1,0,1,0, حطين ,شمال الرياض,5000000,12019.23077
شمالية شرقية,6,3,5+,15,1,0,1,1,1,1,1,1,0,839,2,1,1,1,1,0, حطين ,شمال الرياض,8700000,10369.48749
شمالية شرقية,4,1,4,30,0,0,0,0,0,1,0,0,0,1050,2,1,0,0,0,0, حطين ,شمال الرياض,8200000,7809.52381
شرقية,4,4,4,25,0,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,9200000,13142.85714
شرقية,5,2,5+,31,0,0,1,1,1,1,1,1,0,1750,0,1,1,1,1,1, حطين ,شمال الرياض,28000000,16000
شمالية شرقية,5,2,5+,20,1,18,1,1,1,1,1,1,0,900,1,1,0,0,0,0, حطين ,شمال الرياض,6000000,6666.666667
جنوبية غربية,7,4,5+,15,1,2,1,0,1,1,1,1,0,1000,0,1,1,1,1,1, حطين ,شمال الرياض,13500000,13500
شمالية,5,2,5+,15,1,1,0,1,1,1,0,1,0,505,0,0,0,1,0,0, حطين ,شمال الرياض,11000500,21783.16832
شرقية,6,3,5+,25,1,0,1,0,1,1,1,1,0,500,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,14000
غربية,6,1,5+,20,1,0,1,0,1,1,1,1,0,816,0,1,1,0,1,0, حطين ,شمال الرياض,8500000,10416.66667
شرقية,4,3,5+,25,1,0,1,0,1,1,1,1,0,455,0,1,0,0,1,1, حطين ,شمال الرياض,4300000,9450.549451
ثلاث شوارع,7,5,5+,24,1,0,1,1,1,1,1,1,0,3900,0,1,1,1,1,1, حطين ,شمال الرياض,45000000,11538.46154
جنوبية غربية,5,2,5+,20,1,3,1,1,1,1,1,1,0,1000,1,1,1,1,1,1, حطين ,شمال الرياض,14000000,14000
جنوبية غربية,5,5,5+,30,0,2,1,1,1,1,1,1,0,1000,0,1,1,1,1,0, حطين ,شمال الرياض,14000000,14000
جنوبية,5,1,5+,20,1,7,1,0,1,1,1,1,0,435,0,1,1,0,1,1, حطين ,شمال الرياض,3990000,9172.413793
جنوبية,7,3,5+,20,1,10,0,1,1,1,1,1,0,750,0,1,0,1,0,0, حطين ,شمال الرياض,5000000,6666.666667
شمالية غربية,4,2,5+,15,1,0,1,0,1,1,0,1,0,875,0,1,1,0,1,1, حطين ,شمال الرياض,16500000,18857.14286
جنوبية,5,1,5+,15,1,0,1,0,1,1,1,1,0,402,0,1,1,0,0,0, حطين ,شمال الرياض,5150000,12810.94527
جنوبية غربية,5,4,5+,20,1,2,1,1,1,1,1,1,0,1000,0,1,0,0,1,1, حطين ,شمال الرياض,14000000,14000
شمالية,5,3,5+,21,1,0,1,1,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,14000000,14507.77202
شمالية شرقية,5,2,5+,20,1,18,1,1,1,1,1,1,0,900,1,1,0,0,0,0, حطين ,شمال الرياض,6000000,6666.666667
شرقية,5,2,5+,31,0,0,1,1,1,1,1,1,0,1750,0,1,1,1,1,1, حطين ,شمال الرياض,28000000,16000
شرقية,5,5,5+,25,1,0,1,0,1,1,1,1,0,500,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,14000
ثلاث شوارع,4,3,5+,28,1,6,1,0,1,1,1,1,0,2280,0,1,1,0,1,0, حطين ,شمال الرياض,17000000,7456.140351
جنوبية,7,5,5+,15,1,0,1,1,1,1,1,1,0,362,0,1,1,0,1,0, حطين ,شمال الرياض,4100000,11325.96685
شمالية,6,4,5+,20,1,0,1,1,1,1,1,1,0,1000,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15000
غربية,7,4,5+,15,1,9,1,0,1,1,1,1,0,810,2,1,0,1,0,0, حطين ,شمال الرياض,8000000,9876.54321
جنوبية غربية,7,5,5+,15,1,2,1,0,1,1,1,1,0,1000,0,1,1,0,1,1, حطين ,شمال الرياض,14000000,14000
شمالية,4,3,3,15,0,0,0,0,0,1,0,0,0,325,0,1,1,0,1,0, حطين ,شمال الرياض,4300000,13230.76923
شمالية,7,3,5+,20,1,0,1,1,1,1,1,1,0,500,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,14000
جنوبية,5,3,5+,15,1,0,1,0,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7500000,12500
غربية,4,3,4,20,1,0,1,0,1,1,1,1,0,816,0,1,1,0,1,0, حطين ,شمال الرياض,8500000,10416.66667
غربية,7,5,5+,20,1,0,1,1,1,1,1,1,0,816,0,1,1,0,1,0, حطين ,شمال الرياض,8300000,10171.56863
شمالية,5,3,5+,20,1,0,1,0,1,1,1,1,0,960,0,1,1,0,1,0, حطين ,شمال الرياض,16000000,16666.66667
غربية,7,5,5+,20,1,0,1,1,1,1,1,1,0,816,0,1,1,0,1,0, حطين ,شمال الرياض,8300000,10171.56863
جنوبية,5,3,5+,15,1,0,1,0,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7500000,12500
جنوبية غربية,6,4,5+,25,1,0,1,0,1,1,1,1,0,600,0,1,1,0,0,0, حطين ,شمال الرياض,8000000,13333.33333
جنوبية شرقية,4,1,4,20,1,34,1,0,0,1,0,1,0,1400,0,1,0,0,0,1, حطين ,شمال الرياض,9000000,6428.571429
ثلاث شوارع,1,4,4,20,0,7,1,1,1,1,1,1,0,3900,0,1,1,1,1,1, حطين ,شمال الرياض,55000000,14102.5641
أربع شوارع,7,5,5+,,1,5,1,1,1,1,1,1,0,4000,0,1,1,1,1,0, حطين ,شمال الرياض,55000000,13750
شرقية,4,2,5+,30,1,3,1,0,1,1,1,1,0,1750,0,1,1,1,1,1, حطين ,شمال الرياض,28000000,16000
شمالية شرقية,5,1,2,60,0,10,1,1,1,1,1,1,0,1366,0,1,1,1,1,1, حطين ,شمال الرياض,18000000,13177.15959
غربية,5,1,5+,20,1,6,1,0,1,1,1,1,0,488,1,1,0,0,1,0, حطين ,شمال الرياض,5000000,10245.90164
جنوبية شرقية,4,2,3,40,1,34,1,0,0,1,0,1,0,1400,23,1,0,0,0,0, حطين ,شمال الرياض,8000000,5714.285714
غربية,7,5,5+,20,1,0,1,1,1,1,1,1,0,455,0,1,1,1,0,0, حطين ,شمال الرياض,5600000,12307.69231
شرقية,5,2,5+,30,0,2,1,1,1,1,1,1,0,1750,0,1,1,1,1,1, حطين ,شمال الرياض,29000000,16571.42857
شرقية,4,2,4,15,1,0,1,1,1,1,1,1,0,750,2,1,1,0,1,1, حطين ,شمال الرياض,7500000,10000
شمالية,4,2,5+,15,0,0,1,0,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,11666.66667
شمالية,4,2,5+,15,0,0,1,0,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15544.04145
غربية,5,3,5+,28,1,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,6800000,9714.285714
